ConstraintName,ParentSchema,ParentTable,ChildSchema,ChildTable,ParentColumn,ChildColumn,ColumnOrdinal
FK_EmployeeDepartmentHistory_Department_DepartmentID,HumanResources,Department,HumanResources,EmployeeDepartmentHistory,DepartmentID,DepartmentID,1
FK_Document_Employee_Owner,HumanResources,Employee,Production,Document,BusinessEntityID,Owner,1
FK_EmployeeDepartmentHistory_Employee_BusinessEntityID,HumanResources,Employee,HumanResources,EmployeeDepartmentHistory,BusinessEntityID,BusinessEntityID,1
FK_EmployeePayHistory_Employee_BusinessEntityID,HumanResources,Employee,HumanResources,EmployeePayHistory,BusinessEntityID,BusinessEntityID,1
FK_JobCandidate_Employee_BusinessEntityID,HumanResources,Employee,HumanResources,JobCandidate,BusinessEntityID,BusinessEntityID,1
FK_PurchaseOrderHeader_Employee_EmployeeID,HumanResources,Employee,Purchasing,PurchaseOrderHeader,BusinessEntityID,EmployeeID,1
FK_SalesPerson_Employee_BusinessEntityID,HumanResources,Employee,Sales,SalesPerson,BusinessEntityID,BusinessEntityID,1
FK_EmployeeDepartmentHistory_Shift_ShiftID,HumanResources,Shift,HumanResources,EmployeeDepartmentHistory,ShiftID,ShiftID,1
FK_BusinessEntityAddress_Address_AddressID,Person,Address,Person,BusinessEntityAddress,AddressID,AddressID,1
FK_SalesOrderHeader_Address_BillToAddressID,Person,Address,Sales,SalesOrderHeader,AddressID,BillToAddressID,1
FK_SalesOrderHeader_Address_ShipToAddressID,Person,Address,Sales,SalesOrderHeader,AddressID,ShipToAddressID,1
FK_BusinessEntityAddress_AddressType_AddressTypeID,Person,AddressType,Person,BusinessEntityAddress,AddressTypeID,AddressTypeID,1
FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID,Person,BusinessEntity,Person,BusinessEntityAddress,BusinessEntityID,BusinessEntityID,1
FK_BusinessEntityContact_BusinessEntity_BusinessEntityID,Person,BusinessEntity,Person,BusinessEntityContact,BusinessEntityID,BusinessEntityID,1
FK_Person_BusinessEntity_BusinessEntityID,Person,BusinessEntity,Person,Person,BusinessEntityID,BusinessEntityID,1
FK_Store_BusinessEntity_BusinessEntityID,Person,BusinessEntity,Sales,Store,BusinessEntityID,BusinessEntityID,1
FK_Vendor_BusinessEntity_BusinessEntityID,Person,BusinessEntity,Purchasing,Vendor,BusinessEntityID,BusinessEntityID,1
FK_BusinessEntityContact_ContactType_ContactTypeID,Person,ContactType,Person,BusinessEntityContact,ContactTypeID,ContactTypeID,1
FK_CountryRegionCurrency_CountryRegion_CountryRegionCode,Person,CountryRegion,Sales,CountryRegionCurrency,CountryRegionCode,CountryRegionCode,1
FK_SalesTerritory_CountryRegion_CountryRegionCode,Person,CountryRegion,Sales,SalesTerritory,CountryRegionCode,CountryRegionCode,1
FK_StateProvince_CountryRegion_CountryRegionCode,Person,CountryRegion,Person,StateProvince,CountryRegionCode,CountryRegionCode,1
FK_BusinessEntityContact_Person_PersonID,Person,Person,Person,BusinessEntityContact,BusinessEntityID,PersonID,1
FK_Customer_Person_PersonID,Person,Person,Sales,Customer,BusinessEntityID,PersonID,1
FK_EmailAddress_Person_BusinessEntityID,Person,Person,Person,EmailAddress,BusinessEntityID,BusinessEntityID,1
FK_Employee_Person_BusinessEntityID,Person,Person,HumanResources,Employee,BusinessEntityID,BusinessEntityID,1
FK_Password_Person_BusinessEntityID,Person,Person,Person,Password,BusinessEntityID,BusinessEntityID,1
FK_PersonCreditCard_Person_BusinessEntityID,Person,Person,Sales,PersonCreditCard,BusinessEntityID,BusinessEntityID,1
FK_PersonPhone_Person_BusinessEntityID,Person,Person,Person,PersonPhone,BusinessEntityID,BusinessEntityID,1
FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID,Person,PhoneNumberType,Person,PersonPhone,PhoneNumberTypeID,PhoneNumberTypeID,1
FK_Address_StateProvince_StateProvinceID,Person,StateProvince,Person,Address,StateProvinceID,StateProvinceID,1
FK_SalesTaxRate_StateProvince_StateProvinceID,Person,StateProvince,Sales,SalesTaxRate,StateProvinceID,StateProvinceID,1
FK_ProductModelProductDescriptionCulture_Culture_CultureID,Production,Culture,Production,ProductModelProductDescriptionCulture,CultureID,CultureID,1
FK_ProductDocument_Document_DocumentNode,Production,Document,Production,ProductDocument,DocumentNode,DocumentNode,1
FK_ProductModelIllustration_Illustration_IllustrationID,Production,Illustration,Production,ProductModelIllustration,IllustrationID,IllustrationID,1
FK_ProductInventory_Location_LocationID,Production,Location,Production,ProductInventory,LocationID,LocationID,1
FK_WorkOrderRouting_Location_LocationID,Production,Location,Production,WorkOrderRouting,LocationID,LocationID,1
FK_BillOfMaterials_Product_ComponentID,Production,Product,Production,BillOfMaterials,ProductID,ComponentID,1
FK_BillOfMaterials_Product_ProductAssemblyID,Production,Product,Production,BillOfMaterials,ProductID,ProductAssemblyID,1
FK_ProductCostHistory_Product_ProductID,Production,Product,Production,ProductCostHistory,ProductID,ProductID,1
FK_ProductDocument_Product_ProductID,Production,Product,Production,ProductDocument,ProductID,ProductID,1
FK_ProductInventory_Product_ProductID,Production,Product,Production,ProductInventory,ProductID,ProductID,1
FK_ProductListPriceHistory_Product_ProductID,Production,Product,Production,ProductListPriceHistory,ProductID,ProductID,1
FK_ProductProductPhoto_Product_ProductID,Production,Product,Production,ProductProductPhoto,ProductID,ProductID,1
FK_ProductReview_Product_ProductID,Production,Product,Production,ProductReview,ProductID,ProductID,1
FK_ProductVendor_Product_ProductID,Production,Product,Purchasing,ProductVendor,ProductID,ProductID,1
FK_PurchaseOrderDetail_Product_ProductID,Production,Product,Purchasing,PurchaseOrderDetail,ProductID,ProductID,1
FK_ShoppingCartItem_Product_ProductID,Production,Product,Sales,ShoppingCartItem,ProductID,ProductID,1
FK_SpecialOfferProduct_Product_ProductID,Production,Product,Sales,SpecialOfferProduct,ProductID,ProductID,1
FK_TransactionHistory_Product_ProductID,Production,Product,Production,TransactionHistory,ProductID,ProductID,1
FK_WorkOrder_Product_ProductID,Production,Product,Production,WorkOrder,ProductID,ProductID,1
FK_ProductSubcategory_ProductCategory_ProductCategoryID,Production,ProductCategory,Production,ProductSubcategory,ProductCategoryID,ProductCategoryID,1
FK_ProductModelProductDescriptionCulture_ProductDescription_ProductDescriptionID,Production,ProductDescription,Production,ProductModelProductDescriptionCulture,ProductDescriptionID,ProductDescriptionID,1
FK_Product_ProductModel_ProductModelID,Production,ProductModel,Production,Product,ProductModelID,ProductModelID,1
FK_ProductModelIllustration_ProductModel_ProductModelID,Production,ProductModel,Production,ProductModelIllustration,ProductModelID,ProductModelID,1
FK_ProductModelProductDescriptionCulture_ProductModel_ProductModelID,Production,ProductModel,Production,ProductModelProductDescriptionCulture,ProductModelID,ProductModelID,1
FK_ProductProductPhoto_ProductPhoto_ProductPhotoID,Production,ProductPhoto,Production,ProductProductPhoto,ProductPhotoID,ProductPhotoID,1
FK_Product_ProductSubcategory_ProductSubcategoryID,Production,ProductSubcategory,Production,Product,ProductSubcategoryID,ProductSubcategoryID,1
FK_WorkOrder_ScrapReason_ScrapReasonID,Production,ScrapReason,Production,WorkOrder,ScrapReasonID,ScrapReasonID,1
FK_BillOfMaterials_UnitMeasure_UnitMeasureCode,Production,UnitMeasure,Production,BillOfMaterials,UnitMeasureCode,UnitMeasureCode,1
FK_Product_UnitMeasure_SizeUnitMeasureCode,Production,UnitMeasure,Production,Product,UnitMeasureCode,SizeUnitMeasureCode,1
FK_Product_UnitMeasure_WeightUnitMeasureCode,Production,UnitMeasure,Production,Product,UnitMeasureCode,WeightUnitMeasureCode,1
FK_ProductVendor_UnitMeasure_UnitMeasureCode,Production,UnitMeasure,Purchasing,ProductVendor,UnitMeasureCode,UnitMeasureCode,1
FK_WorkOrderRouting_WorkOrder_WorkOrderID,Production,WorkOrder,Production,WorkOrderRouting,WorkOrderID,WorkOrderID,1
FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID,Purchasing,PurchaseOrderHeader,Purchasing,PurchaseOrderDetail,PurchaseOrderID,PurchaseOrderID,1
FK_PurchaseOrderHeader_ShipMethod_ShipMethodID,Purchasing,ShipMethod,Purchasing,PurchaseOrderHeader,ShipMethodID,ShipMethodID,1
FK_SalesOrderHeader_ShipMethod_ShipMethodID,Purchasing,ShipMethod,Sales,SalesOrderHeader,ShipMethodID,ShipMethodID,1
FK_ProductVendor_Vendor_BusinessEntityID,Purchasing,Vendor,Purchasing,ProductVendor,BusinessEntityID,BusinessEntityID,1
FK_PurchaseOrderHeader_Vendor_VendorID,Purchasing,Vendor,Purchasing,PurchaseOrderHeader,BusinessEntityID,VendorID,1
FK_PersonCreditCard_CreditCard_CreditCardID,Sales,CreditCard,Sales,PersonCreditCard,CreditCardID,CreditCardID,1
