TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
dbo,AWBuildVersion,BASE TABLE
dbo,DatabaseLog,BASE TABLE
dbo,ErrorLog,BASE TABLE
HumanResources,Department,BASE TABLE
HumanResources,Employee,BASE TABLE
HumanResources,EmployeeDepartmentHistory,BASE TABLE
HumanResources,EmployeePayHistory,BASE TABLE
HumanResources,JobCandidate,BASE TABLE
HumanResources,Shift,BASE TABLE
HumanResources,vEmployee,VIEW
HumanResources,vEmployeeDepartment,VIEW
HumanResources,vEmployeeDepartmentHistory,VIEW
HumanResources,vJobCandidate,VIEW
HumanResources,vJobCandidateEducation,VIEW
HumanResources,vJobCandidateEmployment,VIEW
Person,Address,BASE TABLE
Person,AddressType,BASE TABLE
Person,BusinessEntity,BASE TABLE
Person,BusinessEntityAddress,BASE TABLE
Person,BusinessEntityContact,BASE TABLE
Person,ContactType,BASE TABLE
Person,CountryRegion,BASE TABLE
Person,EmailAddress,BASE TABLE
Person,Password,BASE TABLE
Person,Person,BASE TABLE
Person,PersonPhone,BASE TABLE
Person,PhoneNumberType,BASE TABLE
Person,StateProvince,BASE TABLE
Person,vAdditionalContactInfo,VIEW
Person,vStateProvinceCountryRegion,VIEW
Production,BillOfMaterials,BASE TABLE
Production,Culture,BASE TABLE
Production,Document,BASE TABLE
Production,Illustration,BASE TABLE
Production,Location,BASE TABLE
Production,Product,BASE TABLE
Production,ProductCategory,BASE TABLE
Production,ProductCostHistory,BASE TABLE
Production,ProductDescription,BASE TABLE
Production,ProductDocument,BASE TABLE
Production,ProductInventory,BASE TABLE
Production,ProductListPriceHistory,BASE TABLE
Production,ProductModel,BASE TABLE
Production,ProductModelIllustration,BASE TABLE
Production,ProductModelProductDescriptionCulture,BASE TABLE
Production,ProductPhoto,BASE TABLE
Production,ProductProductPhoto,BASE TABLE
Production,ProductReview,BASE TABLE
Production,ProductSubcategory,BASE TABLE
Production,ScrapReason,BASE TABLE
Production,TransactionHistory,BASE TABLE
Production,TransactionHistoryArchive,BASE TABLE
Production,UnitMeasure,BASE TABLE
Production,vProductAndDescription,VIEW
Production,vProductModelCatalogDescription,VIEW
Production,vProductModelInstructions,VIEW
Production,WorkOrder,BASE TABLE
Production,WorkOrderRouting,BASE TABLE
Purchasing,ProductVendor,BASE TABLE
Purchasing,PurchaseOrderDetail,BASE TABLE
Purchasing,PurchaseOrderHeader,BASE TABLE
Purchasing,ShipMethod,BASE TABLE
Purchasing,Vendor,BASE TABLE
Purchasing,vVendorWithAddresses,VIEW
Purchasing,vVendorWithContacts,VIEW
Sales,CountryRegionCurrency,BASE TABLE
Sales,CreditCard,BASE TABLE
Sales,Currency,BASE TABLE
Sales,CurrencyRate,BASE TABLE
Sales,Customer,BASE TABLE
Sales,PersonCreditCard,BASE TABLE
Sales,SalesOrderDetail,BASE TABLE
Sales,SalesOrderHeader,BASE TABLE
Sales,SalesOrderHeaderSalesReason,BASE TABLE
Sales,SalesPerson,BASE TABLE
Sales,SalesPersonQuotaHistory,BASE TABLE
Sales,SalesReason,BASE TABLE
Sales,SalesTaxRate,BASE TABLE
Sales,SalesTerritory,BASE TABLE
Sales,SalesTerritoryHistory,BASE TABLE
Sales,ShoppingCartItem,BASE TABLE
Sales,SpecialOffer,BASE TABLE
Sales,SpecialOfferProduct,BASE TABLE
Sales,Store,BASE TABLE
Sales,vIndividualCustomer,VIEW
Sales,vPersonDemographics,VIEW
Sales,vSalesPerson,VIEW
Sales,vSalesPersonSalesByFiscalYears,VIEW
Sales,vStoreWithAddresses,VIEW
Sales,vStoreWithContacts,VIEW
Sales,vStoreWithDemographics,VIEW
